gender,grade,major_type,monthly_allowance,food_spending,entertainment_spending,fitness_frequency,monthly_fitness_spending,fitness_goal,willingness_to_pay,bookkeeping_habit,satisfaction_score,open_feedback,preferred_activities
Male,Junior,STEM,1781,855.0,127,1-2 times/week,109.0,Health maintenance,219,Often,2.3,"Healthy food options are improving, but prices still feel a little high. Weekend facilities matter more to me than weekday access.","Badminton, Cycling"
Male,Junior,Social Science,2282,650.0,483,1-2 times/week,219.0,Stress relief,349,Sometimes,2.7,Group fitness classes make it easier for me to stay motivated every week. Flexible membership options would feel more attractive than full packages.,Yoga; Running
Female,Sophomore,Arts,2401,830.0,357,1-2 times/week,141.0,Muscle gain,168,Sometimes,2.1,I only spend on exercise when I feel stressed or need to reset my routine. Friends influence my fitness spending more than promotions do.,Home workout
Male,Senior,STEM,2430,1315.0,254,1-2 times/week,139.0,Stress relief,167,Often,4.1,I wish the campus gym stayed open later during exam season. I become much more price-sensitive near the end of each month.,"Gym, Swimming"
Female,Junior,Business,1474,588.0,208,1-2 times/week,76.0,Weight loss,170,Rarely,3.4,Discount bundles for meals and sports would help students balance lifestyle goals. I become much more price-sensitive near the end of each month. I usually decide based on convenience rather than long-term plans.,Badminton，Running
Male,Junior,Social Science,2670,,681,5+ times/week,228.0,Health maintenance,277,Sometimes,4.2,Group fitness classes make it easier for me to stay motivated every week. Friends influence my fitness spending more than promotions do. I would spend more if the quality felt more consistent.,"Yoga, Basketball"
Female,Junior,Social Science,1760,773.0,391,5+ times/week,275.0,Weight loss,414,Sometimes,2.7,Discount bundles for meals and sports would help students balance lifestyle goals. I would spend more if the quality felt more consistent. Friends influence my fitness spending more than promotions do.,Badminton、Swimming
Male,Sophomore,Business,2548,1049.0,435,Never,69.0,Stress relief,200,Sometimes,4.5,My spending changes a lot when assignments pile up and I have less free time. Weekend facilities matter more to me than weekday access.,"Yoga, Home workout"
Female,Junior,Business,2194,1161.0,490,1-2 times/week,117.0,Weight loss,263,Never,2.7,I only spend on exercise when I feel stressed or need to reset my routine. Right now I mostly rely on habits instead of a formal budget.,Cycling; Home workout
Female,Senior,Social Science,1443,579.0,142,1-2 times/month,197.0,Muscle gain,392,Often,3.6,"Healthy food options are improving, but prices still feel a little high. Weekend facilities matter more to me than weekday access. Better information about classes and schedules would increase participation.",Swimming、Cycling
Female,Graduate,Social Science,2026,562.0,369,1-2 times/week,135.0,Weight loss,235,Always,4.1,I would like clearer budgeting tools because entertainment spending is easy to underestimate. My choices are strongly affected by academic pressure.,Yoga; Basketball
Male,Graduate,Social Science,2401,854.0,457,1-2 times/week,176.0,Stress relief,224,Often,2.7,Group fitness classes make it easier for me to stay motivated every week. I would spend more if the quality felt more consistent. Friends influence my fitness spending more than promotions do.,
Male,Junior,Humanities,2537,1177.0,373,1-2 times/month,132.0,Health maintenance,170,Sometimes,3.0,My spending changes a lot when assignments pile up and I have less free time. Right now I mostly rely on habits instead of a formal budget.,Home workout
Female,Junior,STEM,2122,958.0,447,3-4 times/week,259.0,Weight loss,500,Often,3.9,Group fitness classes make it easier for me to stay motivated every week. A student discount for healthy meals would make a real difference.,Badminton、Yoga、Home workout
Female,Senior,Arts,3042,896.0,381,1-2 times/week,112.0,Health maintenance,209,Rarely,5.0,I only spend on exercise when I feel stressed or need to reset my routine. Weekend facilities matter more to me than weekday access.,Basketball; Badminton
Female,Sophomore,Social Science,2754,997.0,594,5+ times/week,267.0,Health maintenance,393,Often,4.0,Convenient workout spaces near the dorm would probably increase my exercise frequency. Friends influence my fitness spending more than promotions do.,Basketball、Cycling、Running
Male,Senior,Social Science,2059,769.0,450,Never,80.0,Muscle gain,205,Always,4.4,I would like clearer budgeting tools because entertainment spending is easy to underestimate. Right now I mostly rely on habits instead of a formal budget. Flexible membership options would feel more attractive than full packages.,Home workout
Female,Junior,STEM,2613,1021.0,80,Never,115.0,Health maintenance,214,Sometimes,4.1,Convenient workout spaces near the dorm would probably increase my exercise frequency. Weekend facilities matter more to me than weekday access.,Yoga
Female,Freshman,STEM,3264,1012.0,859,1-2 times/week,136.0,Muscle gain,197,Rarely,3.7,My spending changes a lot when assignments pile up and I have less free time. I usually decide based on convenience rather than long-term plans.,Home workout
Male,Freshman,Social Science,3278,1212.0,80,Never,101.0,Weight loss,211,Rarely,2.5,I would like clearer budgeting tools because entertainment spending is easy to underestimate. Weekend facilities matter more to me than weekday access.,
Male,Senior,STEM,1525,552.0,209,1-2 times/month,121.0,Stress relief,246,Rarely,4.2,Discount bundles for meals and sports would help students balance lifestyle goals. A student discount for healthy meals would make a real difference.,Running
Female,Freshman,Arts,1690,814.0,425,5+ times/week,227.0,Weight loss,281,Sometimes,2.7,I only spend on exercise when I feel stressed or need to reset my routine. Friends influence my fitness spending more than promotions do.,"Home workout, Cycling"
Male,Sophomore,Business,3017,1462.0,476,1-2 times/month,100.0,Health maintenance,152,Rarely,4.4,I only spend on exercise when I feel stressed or need to reset my routine. I usually decide based on convenience rather than long-term plans.,Badminton
Female,Sophomore,Humanities,1618,661.0,125,1-2 times/month,163.0,Socializing,305,Rarely,3.6,I wish the campus gym stayed open later during exam season. I become much more price-sensitive near the end of each month.,Swimming
Male,Freshman,Social Science,1473,572.0,152,1-2 times/week,226.0,Health maintenance,357,Often,1.5,"Healthy food options are improving, but prices still feel a little high. Right now I mostly rely on habits instead of a formal budget. Weekend facilities matter more to me than weekday access.",Home workout; Basketball
Female,Sophomore,Business,1933,833.0,487,1-2 times/week,222.0,Stress relief,299,Sometimes,3.2,I only spend on exercise when I feel stressed or need to reset my routine. My choices are strongly affected by academic pressure.,"Cycling, Running"
Male,Senior,STEM,2431,862.0,111,1-2 times/week,127.0,Stress relief,248,Rarely,3.9,I wish the campus gym stayed open later during exam season. Right now I mostly rely on habits instead of a formal budget.,Gym
Male,Freshman,Humanities,2144,704.0,555,1-2 times/week,222.0,Socializing,334,Sometimes,3.3,I only spend on exercise when I feel stressed or need to reset my routine. I usually decide based on convenience rather than long-term plans.,"Basketball, Swimming"
Male,Senior,Humanities,1842,635.0,324,3-4 times/week,310.0,Muscle gain,331,Rarely,4.3,I only spend on exercise when I feel stressed or need to reset my routine. Friends influence my fitness spending more than promotions do.,"Running, Basketball, Gym"
Female,Senior,Business,1829,675.0,177,1-2 times/month,82.0,Weight loss,178,Sometimes,2.6,My spending changes a lot when assignments pile up and I have less free time. I become much more price-sensitive near the end of each month. A student discount for healthy meals would make a real difference.,"Swimming, Badminton"
Male,Sophomore,Humanities,1808,591.0,252,1-2 times/week,239.0,Stress relief,400,Sometimes,2.5,Discount bundles for meals and sports would help students balance lifestyle goals. Better information about classes and schedules would increase participation. Right now I mostly rely on habits instead of a formal budget.,Running，Yoga
Female,Freshman,Arts,1716,743.0,187,3-4 times/week,245.0,Muscle gain,358,Always,3.7,Convenient workout spaces near the dorm would probably increase my exercise frequency. Flexible membership options would feel more attractive than full packages.,Home workout，Badminton
Female,Junior,Business,3455,1653.0,831,5+ times/week,238.0,Muscle gain,434,Rarely,3.8,,"Gym, Cycling, Running"
Male,Freshman,STEM,2364,693.0,547,1-2 times/week,84.0,Weight loss,110,Never,2.9,I only spend on exercise when I feel stressed or need to reset my routine. Weekend facilities matter more to me than weekday access. I would spend more if the quality felt more consistent.,"Cycling, Gym"
Female,Sophomore,Business,2688,1134.0,160,1-2 times/week,248.0,Stress relief,287,Often,4.4,My spending changes a lot when assignments pile up and I have less free time. I would spend more if the quality felt more consistent. Weekend facilities matter more to me than weekday access.,Yoga; Gym
Male,Graduate,Business,1931,777.0,293,Never,55.0,Muscle gain,39,Sometimes,2.6,I would like clearer budgeting tools because entertainment spending is easy to underestimate. Right now I mostly rely on habits instead of a formal budget. Friends influence my fitness spending more than promotions do.,Cycling
Male,Graduate,STEM,2098,938.0,251,1-2 times/month,90.0,Weight loss,176,Always,3.4,I would like clearer budgeting tools because entertainment spending is easy to underestimate. Weekend facilities matter more to me than weekday access. Right now I mostly rely on habits instead of a formal budget.,Home workout
Female,Senior,STEM,1808,757.0,489,Never,91.0,Weight loss,182,Always,3.3,Convenient workout spaces near the dorm would probably increase my exercise frequency. Better information about classes and schedules would increase participation. Friends influence my fitness spending more than promotions do.,Home workout
Male,Sophomore,Humanities,900,500.0,80,3-4 times/week,252.0,Muscle gain,377,Never,2.6,My spending changes a lot when assignments pile up and I have less free time. I would spend more if the quality felt more consistent.,Swimming，Home workout，Badminton
Female,Senior,STEM,1442,500.0,421,1-2 times/week,325.0,Health maintenance,524,Sometimes,2.5,I wish the campus gym stayed open later during exam season. Right now I mostly rely on habits instead of a formal budget.,Running，Gym
Female,Senior,Arts,1204,509.0,214,3-4 times/week,207.0,Muscle gain,403,Sometimes,3.8,"Healthy food options are improving, but prices still feel a little high. A student discount for healthy meals would make a real difference. Weekend facilities matter more to me than weekday access.","Gym, Yoga"
Female,Sophomore,STEM,963,500.0,95,Never,48.0,Health maintenance,152,Often,4.7,I wish the campus gym stayed open later during exam season. I become much more price-sensitive near the end of each month.,Basketball
Male,Junior,STEM,1543,,205,3-4 times/week,331.0,Health maintenance,536,Never,4.2,My spending changes a lot when assignments pile up and I have less free time. Flexible membership options would feel more attractive than full packages. A student discount for healthy meals would make a real difference.,Gym，Swimming
Female,Freshman,Social Science,2929,1311.0,363,3-4 times/week,170.0,Muscle gain,326,Often,2.5,I wish the campus gym stayed open later during exam season. Friends influence my fitness spending more than promotions do.,Basketball，Running
Female,Sophomore,Social Science,2176,1121.0,198,Never,92.0,Health maintenance,221,Rarely,1.0,Group fitness classes make it easier for me to stay motivated every week. A student discount for healthy meals would make a real difference.,Gym
Female,Junior,STEM,2910,1187.0,543,Never,50.0,Health maintenance,106,Often,3.7,Convenient workout spaces near the dorm would probably increase my exercise frequency. Right now I mostly rely on habits instead of a formal budget. My choices are strongly affected by academic pressure.,Badminton
Non-binary,Freshman,STEM,2426,1126.0,228,Never,53.0,Stress relief,75,Always,3.1,My spending changes a lot when assignments pile up and I have less free time. I become much more price-sensitive near the end of each month.,Swimming; Home workout
Male,Freshman,STEM,2630,957.0,80,3-4 times/week,183.0,Weight loss,293,Rarely,4.7,Discount bundles for meals and sports would help students balance lifestyle goals. Friends influence my fitness spending more than promotions do.,
Male,Senior,Business,1705,700.0,262,1-2 times/month,109.0,Weight loss,251,Always,2.5,Convenient workout spaces near the dorm would probably increase my exercise frequency. I usually decide based on convenience rather than long-term plans. I become much more price-sensitive near the end of each month.,"Basketball, Running"
Male,Graduate,Business,2488,722.0,134,1-2 times/week,149.0,Socializing,334,Rarely,3.7,I would like clearer budgeting tools because entertainment spending is easy to underestimate. Friends influence my fitness spending more than promotions do.,Gym、Running
Male,Junior,STEM,2601,605.0,331,1-2 times/week,89.0,Health maintenance,205,Often,3.8,Group fitness classes make it easier for me to stay motivated every week. Friends influence my fitness spending more than promotions do. Better information about classes and schedules would increase participation.,"Gym, Cycling"
Female,Senior,STEM,1883,,219,3-4 times/week,215.0,Socializing,456,Rarely,3.5,Group fitness classes make it easier for me to stay motivated every week. My choices are strongly affected by academic pressure.,"Gym, Basketball, Swimming"
Female,Graduate,Business,2508,856.0,298,1-2 times/week,166.0,Health maintenance,210,Rarely,3.1,"Healthy food options are improving, but prices still feel a little high. I would spend more if the quality felt more consistent.",Yoga，Home workout
Male,Freshman,Arts,2511,963.0,804,1-2 times/week,77.0,Weight loss,199,Rarely,3.2,I wish the campus gym stayed open later during exam season. Friends influence my fitness spending more than promotions do.,Running
Male,Junior,Humanities,1898,587.0,349,5+ times/week,,Health maintenance,266,Always,4.2,I would like clearer budgeting tools because entertainment spending is easy to underestimate. A student discount for healthy meals would make a real difference.,Yoga、Running
Female,Sophomore,Business,1582,500.0,312,1-2 times/month,106.0,Stress relief,219,Rarely,3.2,"Healthy food options are improving, but prices still feel a little high. My choices are strongly affected by academic pressure.",Badminton
Female,Freshman,STEM,1549,629.0,86,3-4 times/week,220.0,Health maintenance,466,Never,4.5,I would like clearer budgeting tools because entertainment spending is easy to underestimate. I become much more price-sensitive near the end of each month.,"Running, Home workout, Swimming"
Male,Senior,STEM,2248,813.0,302,Never,32.0,Weight loss,133,Often,2.9,I wish the campus gym stayed open later during exam season. A student discount for healthy meals would make a real difference. I become much more price-sensitive near the end of each month.,Cycling
Female,Junior,STEM,2380,1072.0,464,1-2 times/week,153.0,Muscle gain,236,Often,2.5,Group fitness classes make it easier for me to stay motivated every week. Weekend facilities matter more to me than weekday access.,Gym，Running
Male,Junior,Social Science,1764,805.0,191,5+ times/week,,Health maintenance,290,Rarely,5.0,Discount bundles for meals and sports would help students balance lifestyle goals. Weekend facilities matter more to me than weekday access. I become much more price-sensitive near the end of each month.,Gym，Running
Female,Freshman,Social Science,2215,987.0,539,3-4 times/week,290.0,Health maintenance,381,Often,3.3,"Healthy food options are improving, but prices still feel a little high. I would spend more if the quality felt more consistent.","Running, Yoga, Badminton"
Female,Freshman,Arts,2514,1104.0,241,3-4 times/week,368.0,Stress relief,329,Rarely,3.4,Discount bundles for meals and sports would help students balance lifestyle goals. I usually decide based on convenience rather than long-term plans.,"Cycling, Home workout"
Male,Graduate,Arts,2540,1387.0,406,1-2 times/month,62.0,Muscle gain,247,Rarely,3.2,,Yoga; Running
Female,Freshman,Arts,3054,1022.0,424,1-2 times/week,211.0,Muscle gain,465,Always,3.5,I would like clearer budgeting tools because entertainment spending is easy to underestimate. Flexible membership options would feel more attractive than full packages. Weekend facilities matter more to me than weekday access.,Gym
Female,Sophomore,Arts,2902,1206.0,556,1-2 times/week,189.0,Socializing,324,Sometimes,3.2,"Healthy food options are improving, but prices still feel a little high. Weekend facilities matter more to me than weekday access.","Yoga, Swimming"
Male,Sophomore,STEM,1649,842.0,223,1-2 times/week,207.0,Muscle gain,133,Sometimes,3.4,Convenient workout spaces near the dorm would probably increase my exercise frequency. Right now I mostly rely on habits instead of a formal budget.,Gym
Male,Junior,STEM,3126,1629.0,503,1-2 times/week,265.0,Stress relief,515,Often,3.4,Group fitness classes make it easier for me to stay motivated every week. My choices are strongly affected by academic pressure. Better information about classes and schedules would increase participation.,Gym、Badminton
Female,Junior,STEM,1908,584.0,312,1-2 times/week,201.0,Stress relief,351,Never,3.6,I only spend on exercise when I feel stressed or need to reset my routine. My choices are strongly affected by academic pressure.,Swimming
Female,Junior,Business,2775,1096.0,357,1-2 times/week,57.0,Muscle gain,168,Often,1.4,I only spend on exercise when I feel stressed or need to reset my routine. I usually decide based on convenience rather than long-term plans.,"Yoga, Badminton"
Male,Freshman,STEM,2237,1183.0,479,1-2 times/month,111.0,Stress relief,231,Sometimes,4.6,I only spend on exercise when I feel stressed or need to reset my routine. Friends influence my fitness spending more than promotions do. A student discount for healthy meals would make a real difference.,"Swimming, Gym"
Non-binary,Sophomore,Social Science,1973,909.0,388,1-2 times/week,274.0,Muscle gain,391,Rarely,3.3,Convenient workout spaces near the dorm would probably increase my exercise frequency. I would spend more if the quality felt more consistent.,"Running, Yoga"
Female,Senior,Humanities,1206,525.0,210,1-2 times/month,95.0,Health maintenance,161,Often,3.6,Discount bundles for meals and sports would help students balance lifestyle goals. I become much more price-sensitive near the end of each month.,Home workout
Female,Junior,Business,2106,848.0,316,3-4 times/week,295.0,Health maintenance,515,Rarely,2.8,Discount bundles for meals and sports would help students balance lifestyle goals. Better information about classes and schedules would increase participation.,Badminton; Running; Cycling
Female,Junior,STEM,1342,522.0,316,1-2 times/week,125.0,Socializing,187,Always,3.1,,Gym、Running
Female,Senior,STEM,2732,1210.0,447,1-2 times/month,75.0,Stress relief,133,Sometimes,2.7,Discount bundles for meals and sports would help students balance lifestyle goals. Weekend facilities matter more to me than weekday access. I become much more price-sensitive near the end of each month.,Cycling
Female,Senior,STEM,3034,1213.0,481,3-4 times/week,237.0,Stress relief,403,Always,4.9,Convenient workout spaces near the dorm would probably increase my exercise frequency. A student discount for healthy meals would make a real difference.,Badminton、Cycling
Male,Freshman,Social Science,1762,734.0,330,3-4 times/week,102.0,Health maintenance,214,Rarely,3.1,Discount bundles for meals and sports would help students balance lifestyle goals. Weekend facilities matter more to me than weekday access.,"Cycling, Gym, Basketball"
Female,Sophomore,Humanities,2366,1009.0,707,1-2 times/month,111.0,Health maintenance,192,Rarely,3.8,Group fitness classes make it easier for me to stay motivated every week. My choices are strongly affected by academic pressure. Better information about classes and schedules would increase participation.,Running，Badminton
Female,Junior,Social Science,1801,659.0,155,1-2 times/month,154.0,Stress relief,163,Rarely,3.0,Group fitness classes make it easier for me to stay motivated every week. Friends influence my fitness spending more than promotions do. I would spend more if the quality felt more consistent.,Cycling; Gym
Male,Sophomore,STEM,1854,858.0,434,Never,92.0,Health maintenance,151,Never,2.9,Group fitness classes make it easier for me to stay motivated every week. Flexible membership options would feel more attractive than full packages.,Home workout
Male,Senior,Business,2626,1715.0,125,Never,85.0,Health maintenance,231,Rarely,3.0,My spending changes a lot when assignments pile up and I have less free time. Weekend facilities matter more to me than weekday access. Flexible membership options would feel more attractive than full packages.,Swimming
Female,Junior,Business,2179,605.0,425,3-4 times/week,127.0,Health maintenance,197,Rarely,4.8,Convenient workout spaces near the dorm would probably increase my exercise frequency. Right now I mostly rely on habits instead of a formal budget.,"Home workout, Swimming, Running"
Male,Senior,Social Science,3157,1408.0,916,5+ times/week,265.0,Health maintenance,453,Sometimes,2.4,"Healthy food options are improving, but prices still feel a little high. My choices are strongly affected by academic pressure. Weekend facilities matter more to me than weekday access.","Yoga, Basketball, Cycling"
Male,Senior,Social Science,1935,695.0,414,Never,63.0,Weight loss,188,Never,2.2,Discount bundles for meals and sports would help students balance lifestyle goals. My choices are strongly affected by academic pressure. A student discount for healthy meals would make a real difference.,Cycling
Male,Junior,STEM,2750,1282.0,528,3-4 times/week,339.0,Stress relief,582,Rarely,2.3,My spending changes a lot when assignments pile up and I have less free time. Better information about classes and schedules would increase participation.,"Gym, Basketball"
Female,Graduate,Arts,2254,955.0,317,Never,44.0,Stress relief,188,Never,2.4,I would like clearer budgeting tools because entertainment spending is easy to underestimate. Friends influence my fitness spending more than promotions do. Weekend facilities matter more to me than weekday access.,Gym
Female,Junior,STEM,2638,1269.0,481,1-2 times/week,191.0,Weight loss,317,Often,2.8,Convenient workout spaces near the dorm would probably increase my exercise frequency. Better information about classes and schedules would increase participation.,"Gym, Cycling"
Male,Senior,Social Science,1954,1004.0,317,3-4 times/week,235.0,Health maintenance,407,Sometimes,2.6,My spending changes a lot when assignments pile up and I have less free time. Right now I mostly rely on habits instead of a formal budget.,Yoga，Home workout
Female,Sophomore,STEM,2173,946.0,272,1-2 times/week,180.0,Stress relief,286,Rarely,2.9,I would like clearer budgeting tools because entertainment spending is easy to underestimate. Better information about classes and schedules would increase participation. Friends influence my fitness spending more than promotions do.,Basketball
Female,Junior,STEM,2136,1091.0,341,Never,54.0,Weight loss,185,Often,1.7,Convenient workout spaces near the dorm would probably increase my exercise frequency. Right now I mostly rely on habits instead of a formal budget.,"Swimming, Basketball"
Female,Junior,Social Science,1740,500.0,337,1-2 times/week,252.0,Health maintenance,263,Often,2.7,I only spend on exercise when I feel stressed or need to reset my routine. Flexible membership options would feel more attractive than full packages.,Running，Home workout
Male,Freshman,STEM,2564,1403.0,324,5+ times/week,178.0,Health maintenance,328,Never,4.7,I wish the campus gym stayed open later during exam season. I usually decide based on convenience rather than long-term plans.,"Cycling, Running"
Male,Sophomore,Business,2558,1151.0,316,1-2 times/month,183.0,Health maintenance,321,Sometimes,3.8,Convenient workout spaces near the dorm would probably increase my exercise frequency. I would spend more if the quality felt more consistent.,Running
Female,Graduate,Business,2526,1279.0,214,1-2 times/month,133.0,Muscle gain,228,Often,3.6,,Yoga，Home workout
Male,Junior,STEM,3045,982.0,631,1-2 times/month,100.0,Health maintenance,149,Sometimes,2.4,Discount bundles for meals and sports would help students balance lifestyle goals. A student discount for healthy meals would make a real difference.,Badminton; Gym
Female,Freshman,Humanities,2997,1060.0,654,1-2 times/week,165.0,Muscle gain,303,Sometimes,2.3,"Healthy food options are improving, but prices still feel a little high. I would spend more if the quality felt more consistent.","Basketball, Home workout"
Male,Sophomore,Social Science,1994,861.0,391,1-2 times/week,203.0,Stress relief,356,Sometimes,2.6,I wish the campus gym stayed open later during exam season. I become much more price-sensitive near the end of each month.,"Home workout, Yoga"
Male,Freshman,Social Science,2405,1007.0,595,3-4 times/week,10.0,Weight loss,46,Never,3.5,Discount bundles for meals and sports would help students balance lifestyle goals. I become much more price-sensitive near the end of each month.,Badminton; Yoga; Running
Female,Freshman,STEM,1857,822.0,346,3-4 times/week,312.0,Health maintenance,321,Never,4.5,I only spend on exercise when I feel stressed or need to reset my routine. A student discount for healthy meals would make a real difference.,Cycling、Gym
Female,Graduate,Business,2213,1121.0,459,5+ times/week,261.0,Health maintenance,411,Rarely,4.5,I only spend on exercise when I feel stressed or need to reset my routine. Flexible membership options would feel more attractive than full packages.,Gym、Swimming
Female,Junior,STEM,1870,,376,3-4 times/week,252.0,Stress relief,421,Rarely,4.3,I only spend on exercise when I feel stressed or need to reset my routine. Better information about classes and schedules would increase participation. I become much more price-sensitive near the end of each month.,Basketball; Yoga; Home workout
Non-binary,Sophomore,STEM,3091,1539.0,537,1-2 times/month,124.0,Stress relief,212,Sometimes,2.9,Discount bundles for meals and sports would help students balance lifestyle goals. Better information about classes and schedules would increase participation.,"Yoga, Badminton"
Male,Junior,STEM,2400,1010.0,343,1-2 times/week,132.0,Health maintenance,266,Rarely,3.5,I only spend on exercise when I feel stressed or need to reset my routine. I would spend more if the quality felt more consistent.,Swimming
Male,Freshman,Arts,2080,840.0,697,1-2 times/week,,Health maintenance,363,Often,3.2,I wish the campus gym stayed open later during exam season. Right now I mostly rely on habits instead of a formal budget.,Cycling，Home workout
Male,Sophomore,Social Science,2856,863.0,424,1-2 times/week,199.0,Muscle gain,175,Always,3.3,Group fitness classes make it easier for me to stay motivated every week. I become much more price-sensitive near the end of each month. I would spend more if the quality felt more consistent.,Basketball，Home workout
Female,Senior,Social Science,1006,500.0,134,5+ times/week,281.0,Socializing,398,Never,5.0,"Healthy food options are improving, but prices still feel a little high. I become much more price-sensitive near the end of each month.",Cycling; Running
Male,Junior,Business,1092,500.0,230,3-4 times/week,244.0,Health maintenance,465,Never,2.5,Convenient workout spaces near the dorm would probably increase my exercise frequency. I would spend more if the quality felt more consistent. I become much more price-sensitive near the end of each month.,"Swimming, Badminton"
Female,Graduate,Business,2638,1245.0,521,5+ times/week,270.0,Socializing,519,Often,3.6,Group fitness classes make it easier for me to stay motivated every week. Friends influence my fitness spending more than promotions do.,Badminton，Cycling，Gym
Female,Junior,Business,2233,671.0,182,1-2 times/week,201.0,Socializing,218,Rarely,4.4,"Healthy food options are improving, but prices still feel a little high. I would spend more if the quality felt more consistent. My choices are strongly affected by academic pressure.","Badminton, Basketball"
Male,Junior,Business,2338,992.0,605,1-2 times/week,,Health maintenance,215,Sometimes,2.4,Discount bundles for meals and sports would help students balance lifestyle goals. Friends influence my fitness spending more than promotions do.,Swimming、Gym
Male,Senior,Business,1470,603.0,255,1-2 times/week,173.0,Health maintenance,420,Sometimes,3.0,My spending changes a lot when assignments pile up and I have less free time. A student discount for healthy meals would make a real difference. I usually decide based on convenience rather than long-term plans.,"Basketball, Cycling"
Female,Graduate,STEM,2187,1123.0,224,1-2 times/month,104.0,Stress relief,212,Often,2.8,I only spend on exercise when I feel stressed or need to reset my routine. Right now I mostly rely on habits instead of a formal budget.,Basketball; Cycling
Male,Senior,STEM,3302,1340.0,869,1-2 times/month,71.0,Weight loss,140,Often,3.0,"Healthy food options are improving, but prices still feel a little high. Weekend facilities matter more to me than weekday access. A student discount for healthy meals would make a real difference.",Swimming
Male,Graduate,Arts,2653,967.0,594,1-2 times/week,172.0,Stress relief,192,Sometimes,2.3,I only spend on exercise when I feel stressed or need to reset my routine. I would spend more if the quality felt more consistent. Weekend facilities matter more to me than weekday access.,"Yoga, Badminton"
Male,Senior,Business,2293,870.0,210,Never,52.0,Health maintenance,115,Sometimes,3.6,My spending changes a lot when assignments pile up and I have less free time. I become much more price-sensitive near the end of each month.,Basketball
Male,Senior,Arts,1959,1022.0,596,5+ times/week,273.0,Stress relief,311,Sometimes,4.3,I wish the campus gym stayed open later during exam season. Weekend facilities matter more to me than weekday access.,"Cycling, Home workout"
Female,Freshman,STEM,1983,918.0,448,1-2 times/month,54.0,Health maintenance,191,Often,3.6,I only spend on exercise when I feel stressed or need to reset my routine. I would spend more if the quality felt more consistent.,Badminton
Female,Senior,Business,1029,500.0,184,1-2 times/month,77.0,Weight loss,236,Never,2.5,I would like clearer budgeting tools because entertainment spending is easy to underestimate. I usually decide based on convenience rather than long-term plans. I would spend more if the quality felt more consistent.,Badminton
Female,Junior,STEM,2342,939.0,682,3-4 times/week,391.0,Muscle gain,565,Sometimes,3.9,I would like clearer budgeting tools because entertainment spending is easy to underestimate. Better information about classes and schedules would increase participation. Flexible membership options would feel more attractive than full packages.,Swimming，Gym
Male,Junior,STEM,2665,785.0,509,1-2 times/month,99.0,Stress relief,131,Never,2.5,I only spend on exercise when I feel stressed or need to reset my routine. I usually decide based on convenience rather than long-term plans.,Badminton; Basketball
Male,Junior,STEM,1333,601.0,237,5+ times/week,197.0,Muscle gain,220,Always,3.6,"Healthy food options are improving, but prices still feel a little high. Weekend facilities matter more to me than weekday access.","Basketball, Swimming"
Female,Graduate,STEM,1836,513.0,246,3-4 times/week,111.0,Weight loss,231,Sometimes,5.0,I only spend on exercise when I feel stressed or need to reset my routine. Weekend facilities matter more to me than weekday access. Friends influence my fitness spending more than promotions do.,"Cycling, Yoga"
Female,Graduate,Arts,1563,750.0,345,Never,100.0,Weight loss,147,Rarely,3.3,Convenient workout spaces near the dorm would probably increase my exercise frequency. I usually decide based on convenience rather than long-term plans.,Yoga
Female,Sophomore,STEM,1669,718.0,356,3-4 times/week,177.0,Health maintenance,326,Sometimes,2.9,I would like clearer budgeting tools because entertainment spending is easy to underestimate. Right now I mostly rely on habits instead of a formal budget. I become much more price-sensitive near the end of each month.,Running; Swimming
Male,Senior,Humanities,2229,1362.0,404,3-4 times/week,279.0,Stress relief,245,Often,3.9,Discount bundles for meals and sports would help students balance lifestyle goals. A student discount for healthy meals would make a real difference.,"Basketball, Swimming, Running"
Male,Senior,Business,1054,500.0,131,3-4 times/week,173.0,Weight loss,200,Often,2.8,"Healthy food options are improving, but prices still feel a little high. Weekend facilities matter more to me than weekday access. Flexible membership options would feel more attractive than full packages.","Home workout, Running"
Female,Sophomore,Business,2538,1045.0,480,3-4 times/week,190.0,Weight loss,269,Often,2.9,My spending changes a lot when assignments pile up and I have less free time. Flexible membership options would feel more attractive than full packages.,"Yoga, Gym"
Female,Freshman,Business,2615,1475.0,458,3-4 times/week,199.0,Stress relief,310,Sometimes,3.0,Group fitness classes make it easier for me to stay motivated every week. Friends influence my fitness spending more than promotions do.,Yoga; Gym
Male,Freshman,STEM,2062,1063.0,179,1-2 times/week,361.0,Weight loss,572,Sometimes,3.1,My spending changes a lot when assignments pile up and I have less free time. Flexible membership options would feel more attractive than full packages.,"Basketball, Swimming"
Female,Senior,Arts,900,,80,1-2 times/week,266.0,Health maintenance,465,Often,4.2,Discount bundles for meals and sports would help students balance lifestyle goals. I would spend more if the quality felt more consistent.,
Male,Junior,Social Science,1652,723.0,363,3-4 times/week,139.0,Health maintenance,264,Rarely,4.2,Group fitness classes make it easier for me to stay motivated every week. I usually decide based on convenience rather than long-term plans.,
Female,Graduate,Social Science,2878,1209.0,80,5+ times/week,353.0,Weight loss,460,Always,4.2,Discount bundles for meals and sports would help students balance lifestyle goals. Better information about classes and schedules would increase participation.,"Cycling, Swimming"
